ID,이름,소유자,부서,공유범위,저장시각,청크수,본문1,본문2,본문3,본문4,본문5,본문6,본문7,본문8,본문9,본문10,,,,,,,,,,,,,,
fmres4tj7zm8,Riley Bennett 22947,Avery Reed 08336,예술사업팀,비공개,2026-07-15 16:55:34,1,"{""v"":2,""seq"":116,""nodes"":[{""id"":""n114"",""t"":""shape"",""x"":-184,""y"":72,""w"":600,""h"":248,""tx"":""프로세스"",""f"":""w"",""k"":""round"",""ts"":11},{""id"":""n115"",""t"":""shape"",""x"":224,""y"":376,""w"":600,""h"":248,""tx"":""프로세스"",""f"":""w"",""k"":""round"",""ts"":11}],""edges"":[{""id"":""e116"",""from"":""n114"",""to"":""n115"",""k"":""orth"",""a2"":true,""fa"":""b""}],""inq"":{}}",,,,,,,,,,,,,,,,,,,,,,,
fmrwvwt9yqkf,Taylor Bennett 22948,Cameron Lane 09790,예술사업팀,비공개,2026-07-23 11:21:02,1,"{""v"":2,""seq"":101,""nodes"":[{""id"":""n101"",""t"":""shape"",""k"":""rect"",""x"":384,""y"":32,""w"":328,""h"":336,""tx"":"""",""f"":""k"",""ts"":11}],""edges"":[],""inq"":{}}",,,,,,,,,,,,,,,,,,,,,,,
fmsdcg075l6w,Casey Bennett 22949,Avery Reed 08336,예술사업팀,비공개,2026-08-03 23:48:09,1,"{""v"":2,""seq"":102,""nodes"":[{""id"":""n101"",""t"":""shape"",""k"":""rect"",""x"":264,""y"":112,""w"":448,""h"":208,""tx"":"""",""f"":""w"",""ts"":11},{""id"":""n102"",""t"":""shape"",""k"":""diamond"",""x"":504,""y"":312,""w"":360,""h"":232,""tx"":"""",""f"":""w"",""ts"":11}],""edges"":[],""inq"":{}}",,,,,,,,,,,,,,,,,,,,,,,
fmse6t8iyrhb,Cameron Bennett 22950,Avery Reed 08336,예술사업팀,비공개,2026-08-04 13:58:13,1,"{""v"":2,""seq"":103,""nodes"":[{""id"":""n101"",""t"":""shape"",""k"":""rect"",""x"":288,""y"":80,""w"":296,""h"":200,""tx"":"""",""f"":""w"",""ts"":11},{""id"":""n102"",""t"":""shape"",""k"":""round"",""x"":680,""y"":104,""w"":152,""h"":112,""tx"":"""",""f"":""w"",""ts"":11}],""edges"":[{""id"":""e103"",""from"":""n101"",""to"":""n102"",""k"":""orth"",""a2"":true,""fa"":""r""}],""inq"":{}}",,,,,,,,,,,,,,,,,,,,,,,
