ID,수신자,종류,트리거,이전,이후,사유,참조번호,참조요약,KST,읽음,제목
pn-overdue-104-O0-Cameron Lane 09790,Cameron Lane 09790,중요,홍보-미완료,,,"Cameron Lane 09790님, 17:00에 블로그·맘카페 「9월 브런치 콘서트 홍보」 완료하셨나요? 확인해주세요.",104,2026-07-11 블로그·맘카페 9월 브런치 콘서트 홍보,2026-07-11 17:15,TRUE,🔔 홍보 완료됐나요?
pn-overdue-104-O1-Cameron Lane 09790,Cameron Lane 09790,중요,홍보-미완료,,,"Cameron Lane 09790님, 17:00에 블로그·맘카페 「9월 브런치 콘서트 홍보」 완료하셨나요? 확인해주세요.",104,2026-07-11 블로그·맘카페 9월 브런치 콘서트 홍보,2026-07-11 17:30,TRUE,🔔 홍보 완료됐나요?
pn-morning-104-AM2026-07-14-Cameron Lane 09790,Cameron Lane 09790,일반,홍보-당일,,,"Cameron Lane 09790님, 오늘 예정된 18:00 블로그·맘카페 「9월 브런치 콘서트 홍보」를 확인해주세요.",104,2026-07-14 블로그·맘카페 9월 브런치 콘서트 홍보,2026-07-14 09:30,FALSE,📣 오늘 홍보 일정이 있어요
m1783991973884-3qe3,Cameron Lane 09790,일반,예정→완료,예정,완료,,104,2026-07-14 블로그·맘카페 9월 브런치 콘서트 홍보,2026-07-14 01:19,FALSE,
pn-lead1h-118-L-Avery Reed 08336,Avery Reed 08336,일반,홍보-1시간전,,,"Avery Reed 08336님, 10:00에 문자 「고객 의견 수렴 2차 발송」 홍보가 예정되어 있습니다.",118,2026-07-15 문자 고객 의견 수렴 2차 발송,2026-07-15 09:00,FALSE,⏰ 1시간 뒤 홍보 예정
pn-morning-98-AM2026-07-15-Avery Reed 08336,Avery Reed 08336,일반,홍보-당일,,,"Avery Reed 08336님, 오늘 예정된 15:00 문자 「러커스더스쿨 T/O」를 확인해주세요.",98,2026-07-15 문자 러커스더스쿨 T/O,2026-07-15 09:30,FALSE,📣 오늘 홍보 일정이 있어요
pn-morning-99-AM2026-07-15-Cameron Lane 09790,Cameron Lane 09790,일반,홍보-당일,,,"Cameron Lane 09790님, 오늘 예정된 14:00 인스타그램 「러커스더스쿨 T/O」를 확인해주세요.",99,2026-07-15 인스타그램 러커스더스쿨 T/O,2026-07-15 09:30,TRUE,📣 오늘 홍보 일정이 있어요
pn-morning-100-AM2026-07-15-Cameron Lane 09790,Cameron Lane 09790,일반,홍보-당일,,,"Cameron Lane 09790님, 오늘 예정된 16:00 블로그·맘카페 「러커스더스쿨 T/O」를 확인해주세요.",100,2026-07-15 블로그·맘카페 러커스더스쿨 T/O,2026-07-15 09:30,FALSE,📣 오늘 홍보 일정이 있어요
pn-morning-106-AM2026-07-15-Avery Reed 08336,Avery Reed 08336,일반,홍보-당일,,,"Avery Reed 08336님, 오늘 예정된 15:50 카카오톡 「러커스더스쿨 T/O」를 확인해주세요.",106,2026-07-15 카카오톡 러커스더스쿨 T/O,2026-07-15 09:30,FALSE,📣 오늘 홍보 일정이 있어요
pn-overdue-118-O0-Avery Reed 08336,Avery Reed 08336,중요,홍보-미완료,,,"Avery Reed 08336님, 10:00에 문자 「고객 의견 수렴 2차 발송」 완료하셨나요? 확인해주세요.",118,2026-07-15 문자 고객 의견 수렴 2차 발송,2026-07-15 10:15,FALSE,🔔 홍보 완료됐나요?
